,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,source_file,UIDENTSTLAE
98806,98807,5,5,15,0,2019,2,17,7,3,1,5,1,1,1,0,0,0,0,"405578,877404412250000","5756821,543663803500000",7.625986342000033,51.95407095400003,1,Unfallorte2019_LinRef.csv,
98925,98926,5,5,15,0,2019,2,15,3,3,5,2,0,1,1,0,0,0,0,"405455,253000000490000","5759121,153999999200000",7.62355481000003,51.97471980900008,0,Unfallorte2019_LinRef.csv,
98926,98927,5,5,15,0,2019,2,13,3,3,1,6,0,1,0,0,0,0,0,"406155,558017926290000","5757435,097148019800000",7.634208004000072,51.95968347300004,0,Unfallorte2019_LinRef.csv,
98931,98932,5,5,15,0,2019,2,8,6,3,2,6,0,0,1,0,0,0,0,"407676,549961341540000","5756832,681150931900000",7.656499453000038,51.954523262000066,1,Unfallorte2019_LinRef.csv,
98933,98934,5,5,15,0,2019,2,19,6,3,2,2,2,0,1,0,0,0,0,"405371,937202354890000","5761218,416376149300000",7.621763644000055,51.99355662000005,1,Unfallorte2019_LinRef.csv,
98934,98935,5,5,15,0,2019,2,13,6,3,3,5,0,0,1,0,0,0,0,"408279,611756913360000","5760783,175252383600000",7.664217061000045,51.990132294000034,1,Unfallorte2019_LinRef.csv,
99074,99075,5,5,15,0,2019,2,18,3,3,2,6,1,0,1,0,0,0,0,"401984,019130499100000","5748371,407821053600000",7.576096250000035,51.877496601000075,0,Unfallorte2019_LinRef.csv,
99110,99111,5,5,15,0,2019,2,14,7,3,5,2,0,1,1,0,0,0,0,"405782,720849396660000","5755731,994492596000000",7.629250413000023,51.94431215700007,0,Unfallorte2019_LinRef.csv,
99111,99112,5,5,15,0,2019,2,17,7,3,0,3,0,1,1,0,0,0,0,"405782,736908687280000","5755732,013380006000000",7.629250641000056,51.94431232900007,0,Unfallorte2019_LinRef.csv,
99210,99211,5,5,15,0,2019,2,14,3,3,5,3,0,0,1,0,0,0,0,"407683,622999998740000","5761472,883999999600000",7.655354147000026,51.99623299400008,0,Unfallorte2019_LinRef.csv,
99258,99259,5,5,15,0,2019,2,9,6,3,5,3,0,1,1,0,0,0,0,"406537,972946568390000","5750575,382951991600000",7.641634993000025,51.898089104000064,0,Unfallorte2019_LinRef.csv,
99259,99260,5,5,15,0,2019,2,8,6,3,1,5,0,1,1,0,0,0,0,"405081,291941844860000","5759105,252224085900000",7.618116543000042,51.97451313000005,1,Unfallorte2019_LinRef.csv,
99439,99440,5,5,15,0,2019,2,6,5,3,5,3,2,1,1,0,0,0,0,"404326,302019314840000","5756264,114356739400000",7.607919859000049,51.948846493000076,1,Unfallorte2019_LinRef.csv,
99530,99531,5,5,15,0,2019,2,20,1,3,6,4,2,0,1,1,0,0,0,"405927,393414234740000","5756743,447974799200000",7.631077751000021,51.95342805800004,1,Unfallorte2019_LinRef.csv,
99661,99662,5,5,15,0,2019,2,10,1,3,3,2,0,1,1,0,0,0,0,"405164,440306261180000","5756901,127267431500000",7.619935386000066,51.95471576600005,0,Unfallorte2019_LinRef.csv,
99791,99792,5,5,15,0,2019,2,16,5,3,5,3,0,1,1,0,0,0,0,"405739,563047156670000","5753729,381308056400000",7.629171472000053,51.926304395000045,0,Unfallorte2019_LinRef.csv,
99855,99856,5,5,15,0,2019,2,18,7,3,6,4,2,0,1,1,0,0,0,"406051,190985041670000","5757753,807898243900000",7.632602359000032,51.962530565000066,0,Unfallorte2019_LinRef.csv,
99858,99859,5,5,15,0,2019,2,9,7,3,6,2,0,0,1,1,0,0,0,"405446,333463592450000","5751079,759794965400000",7.625635789000057,51.90243854400006,0,Unfallorte2019_LinRef.csv,
100052,100053,5,5,15,0,2019,2,16,6,3,8,1,0,1,0,0,0,0,0,"408813,658563434150000","5758532,777251549100000",7.672590569000022,51.96999236400006,0,Unfallorte2019_LinRef.csv,
100053,100054,5,5,15,0,2019,2,7,6,3,5,2,0,0,1,0,1,0,0,"407081,385000000710000","5757597,832000000400000",7.647634193000044,51.961301708000065,0,Unfallorte2019_LinRef.csv,
100077,100078,5,5,15,0,2019,2,16,4,3,5,3,0,1,1,0,0,0,0,"406133,740419750100000","5757702,640671826900000",7.633817457000021,51.96208459400003,0,Unfallorte2019_LinRef.csv,
100078,100079,5,5,15,0,2019,2,13,4,3,0,5,0,1,1,0,0,0,0,"405648,614834705370000","5756980,848354360100000",7.626957100000027,51.955514692000065,0,Unfallorte2019_LinRef.csv,
100079,100080,5,5,15,0,2019,2,10,4,3,1,5,0,1,1,0,0,0,0,"404669,747128407470000","5759480,299874937200000",7.612022738000064,51.97781374600004,0,Unfallorte2019_LinRef.csv,
100166,100167,5,5,15,0,2019,2,9,3,3,2,6,0,0,1,0,0,0,0,"402833,107555665080000","5753948,558791244400000",7.586854722000055,51.927774713000076,1,Unfallorte2019_LinRef.csv,
100167,100168,5,5,15,0,2019,2,19,3,3,5,2,2,1,1,0,0,0,0,"406628,592371324080000","5758709,235125314400000",7.640743890000067,51.971215674000064,0,Unfallorte2019_LinRef.csv,
100168,100169,5,5,15,0,2019,2,16,3,3,4,2,0,1,1,0,0,0,0,"401877,237683466640000","5753654,857938041900000",7.573041412000066,51.924967174000074,0,Unfallorte2019_LinRef.csv,
100285,100286,5,5,15,0,2019,2,16,2,3,3,6,0,1,1,0,0,0,0,"404784,462779388760000","5755235,854708546800000",7.614868889000036,51.93968268700007,0,Unfallorte2019_LinRef.csv,
100355,100356,5,5,15,0,2019,2,21,7,3,2,6,2,0,1,0,0,0,0,"409119,928024389780000","5758872,337101638300000",7.676957780000066,51.97309469600003,0,Unfallorte2019_LinRef.csv,
100356,100357,5,5,15,0,2019,2,14,7,3,5,2,0,1,1,0,0,0,0,"406038,352976575490000","5756774,951165309200000",7.632683297000028,51.95372998100004,0,Unfallorte2019_LinRef.csv,
100442,100443,5,5,15,0,2019,2,17,6,3,9,7,1,0,1,0,0,0,0,"416344,120567789300000","5753778,344629403200000",7.783341590000021,51.928439222000065,0,Unfallorte2019_LinRef.csv,
100443,100444,5,5,15,0,2019,2,14,6,3,3,6,0,1,0,0,0,0,0,"405046,408797043380000","5756567,783853460100000",7.618310420000057,51.95169939700003,0,Unfallorte2019_LinRef.csv,
100444,100445,5,5,15,0,2019,2,14,6,3,2,6,0,0,1,0,0,0,0,"403102,091110602020000","5760279,340870948500000",7.588979918000064,51.984724570000026,0,Unfallorte2019_LinRef.csv,
100548,100549,5,5,15,0,2019,2,14,5,3,1,3,0,1,1,0,0,0,0,"403501,661367616620000","5760698,882426487300000",7.594678490000035,51.98856507600004,1,Unfallorte2019_LinRef.csv,
100646,100647,5,5,15,0,2019,2,0,3,2,4,6,2,1,0,0,0,0,0,"409383,946567085570000","5751521,817102776800000",7.682737169000063,51.907066419000046,0,Unfallorte2019_LinRef.csv,
100752,100753,5,5,15,0,2019,2,9,2,3,5,3,0,1,1,0,0,0,0,"407153,091403447090000","5760550,965315498400000",7.647878603000038,51.987857906000045,0,Unfallorte2019_LinRef.csv,
100758,100759,5,5,15,0,2019,2,8,3,3,3,3,0,1,1,0,0,0,0,"406526,867999999780000","5750599,418999999800000",7.641467126000066,51.89830329100005,0,Unfallorte2019_LinRef.csv,
100919,100920,5,5,15,0,2019,2,16,1,2,0,2,0,0,1,0,1,0,0,"406939,529000000100000","5756954,990000000200000",7.645744344000036,51.95549979200007,0,Unfallorte2019_LinRef.csv,
101042,101043,5,5,15,0,2019,3,21,1,3,5,2,2,0,1,0,0,0,0,"405199,719014599920000","5764877,613088101100000",7.618243280000058,52.02641730900007,1,Unfallorte2019_LinRef.csv,
101046,101047,5,5,15,0,2019,3,22,7,2,6,4,2,0,0,1,1,0,0,"406029,683000001130000","5756779,374000001700000",7.632555962000026,51.95376827100006,1,Unfallorte2019_LinRef.csv,
101048,101049,5,5,15,0,2019,3,14,6,3,2,1,0,0,1,0,0,0,0,"401092,371682262050000","5760765,313795773300000",7.559584280000024,51.98873837700006,0,Unfallorte2019_LinRef.csv,
101086,101087,5,5,15,0,2019,2,15,5,3,1,4,0,1,0,1,0,0,0,"409070,920305487700000","5752861,916014010100000",7.677834309000048,51.919061154000076,0,Unfallorte2019_LinRef.csv,
101087,101088,5,5,15,0,2019,2,14,5,3,2,6,0,0,1,0,0,0,0,"408004,307615404020000","5758296,220370937100000",7.660875611000051,51.96773268900006,0,Unfallorte2019_LinRef.csv,
101231,101232,5,5,15,0,2019,2,16,4,3,1,6,0,0,1,0,0,0,0,"403733,972102969880000","5749595,745797820400000",7.601168423000047,51.88880634700007,0,Unfallorte2019_LinRef.csv,
101232,101233,5,5,15,0,2019,2,7,4,3,5,3,0,1,1,0,0,0,0,"406062,380125024360000","5751516,489602448400000",7.634468395000056,51.906468320000045,0,Unfallorte2019_LinRef.csv,
101267,101268,5,5,15,0,2019,3,5,1,3,9,1,2,0,1,0,0,0,0,"409426,332391473460000","5763772,932702597200000",7.680122314000073,52.01719411500005,1,Unfallorte2019_LinRef.csv,
101289,101290,5,5,15,0,2019,3,17,6,3,6,4,0,1,0,1,0,0,0,"406608,472335600290000","5757158,657605066900000",7.64087276600003,51.95727495700004,0,Unfallorte2019_LinRef.csv,
101293,101294,5,5,15,0,2019,3,12,6,2,9,1,0,0,1,0,0,0,0,"404510,097269644960000","5744920,263703560500000",7.613735453000061,51.846914155000036,1,Unfallorte2019_LinRef.csv,
101392,101393,5,5,15,0,2019,3,17,4,2,5,2,0,1,1,0,0,0,0,"407061,588000000450000","5757345,232999999100000",7.647414494000032,51.95902791000003,1,Unfallorte2019_LinRef.csv,
101393,101394,5,5,15,0,2019,3,12,4,3,5,2,0,1,0,0,0,0,1,"406008,587041108870000","5757791,834510883300000",7.631972055000063,51.96286516400005,0,Unfallorte2019_LinRef.csv,
101525,101526,5,5,15,0,2019,3,19,3,3,5,2,1,1,1,0,0,0,0,"407296,247854567130000","5757988,437185637700000",7.650654997000061,51.96484853800007,0,Unfallorte2019_LinRef.csv,
101527,101528,5,5,15,0,2019,3,16,3,3,5,3,0,1,1,0,0,0,0,"406510,019101615060000","5757238,452881664000000",7.639418697000053,51.95797565200007,0,Unfallorte2019_LinRef.csv,
101554,101555,5,5,15,0,2019,3,13,5,3,5,3,0,1,1,0,0,0,0,"407058,082880979400000","5757259,554980456800000",7.647386678000032,51.95825720600004,1,Unfallorte2019_LinRef.csv,
101555,101556,5,5,15,0,2019,3,17,5,3,2,6,0,0,1,0,0,0,0,"404906,234086906540000","5755229,612991696200000",7.616641503000039,51.93964740800004,0,Unfallorte2019_LinRef.csv,
101653,101654,5,5,15,0,2019,3,21,2,3,2,6,2,0,1,0,0,0,0,"404852,056387758810000","5758306,761137263800000",7.615001568000025,51.96729679200007,0,Unfallorte2019_LinRef.csv,
101751,101752,5,5,15,0,2019,3,17,3,2,5,3,0,0,1,0,1,0,0,"407673,559503549710000","5756833,355814484900000",7.656455767000068,51.95452883000007,0,Unfallorte2019_LinRef.csv,
101753,101754,5,5,15,0,2019,3,15,3,2,5,3,0,1,1,0,0,0,0,"399146,390443028880000","5760141,203066567000000",7.53143797000007,51.98277892700003,0,Unfallorte2019_LinRef.csv,
101755,101756,5,5,15,0,2019,3,13,3,3,1,7,0,0,1,0,1,0,0,"405436,616884156130000","5756174,733338108300000",7.624094789000026,51.94823296800007,0,Unfallorte2019_LinRef.csv,
101856,101857,5,5,15,0,2019,3,22,1,3,6,2,2,0,1,1,0,0,0,"405108,490501950490000","5756668,372761825100000",7.619185725000023,51.95261412800005,1,Unfallorte2019_LinRef.csv,
101858,101859,5,5,15,0,2019,3,19,1,3,6,4,2,0,1,1,0,0,0,"405942,260803278540000","5756807,855052640700000",7.631276401000037,51.95400949300006,1,Unfallorte2019_LinRef.csv,
101875,101876,5,5,15,0,2019,3,19,4,3,3,6,2,0,1,0,0,1,0,"401289,395726034420000","5751593,316543987000000",7.565086457000064,51.90633357300004,1,Unfallorte2019_LinRef.csv,
101945,101946,5,5,15,0,2019,3,2,7,3,5,2,2,1,1,0,0,0,0,"406533,325782502070000","5756210,836961815100000",7.640037293000034,51.94874285000003,1,Unfallorte2019_LinRef.csv,
101948,101949,5,5,15,0,2019,3,15,7,2,1,5,0,1,1,0,0,0,0,"406842,107151579110000","5757007,066354677100000",7.644312929000023,51.955951569000035,1,Unfallorte2019_LinRef.csv,
