vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Hafenstraße,30,mi,31.05.2017,12:05,5,,m,,,,,2,,,,,,,1,1,,,44,e,21,wes,,641,,26,,,,,,34,,,,,,,,
Weseler Straße,Spinne,mi,31.05.2017,13:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,21,,,,,,,,
Ludgeriplatz,Moltkestraße,mi,31.05.2017,18:15,5,,z,,,,,2,,,,,,,2,,,,21,waf,21,d,,252,,26,,,,,,34,,,,,,,,
An den Loddenbüschen,Loddenheide,mi,31.05.2017,16:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,623,,14,,,,,,22,,,,,,,,
Beckhofstraße,23,mi,31.05.2017,18:40,5,,z,,,,,2,,,,,,,1,1,,,44,bn,21,ms,,502,,14,,,,,,22,,,,,,,,
Friedrich-Ebert-Straße,Dahlweg,mi,31.05.2017,17:20,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,322,,28,,,,,,50,,,,,,,,
Gasselstiege,33,mi,31.05.2017,14:19,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,f,,703,,14,,,,,,75,,,,,,,,
Handorfer Straße,Krüsbreede,mi,31.05.2017,13:35,5,,m,,,,,2,,,,,,,2,,,,21,hh,21,ms,,501,,14,,,,,,47,,,,,,,,
Emdener Straße,31,mi,31.05.2017,16:23,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,42,,,,,,,,
Meßkamp,102,do,01.06.2017,00:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,cas,,701,,14,,,,2/3,,52,,,,,,,,
Ashölterweg,,do,01.06.2017,01:50,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,31,,,,,,,,
Trauttmansdorffstraße,Hammer Straße,mi,31.05.2017,16:10,5,,m,,,,,2,,,,,,,1,1,,,21,re,40,hh,,621,,14,,,,,,27,,,,,,,,
Ludgeriplatz,Schorlemerstraße,mi,31.05.2017,09:40,5,,m,,,,,2,,,,,,,1,1,,,46,os,21,waf,,641,,26,,,,,,63,,,,,,,,
B 51,Hammer Straße,mi,31.05.2017,10:10,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,coe,,623,,14,,,,,,49,,,,,,,,
Maikottenweg,17,mi,31.05.2017,09:30,5,,o,,,,,1,,,,,,,,1,,,59,coe,,,,101,,14,,,,,,33,,Remondis,,,,,,
Gelmerheide,37,mi,31.05.2017,09:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,571,,36,,,,,,79,,,,,,,,
Steinfurter Straße,226a,mi,31.05.2017,08:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,st,,602,,14,,,,,,42,,,,,,,,
Gartenstraße,Stühmerweg,mi,31.05.2017,11:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,45,,,,,,,,
Hittorfstraße,Sertürnerstraße,mi,31.05.2017,14:30,5,,o,,,,,2,,,,,,,1,1,,,44,d,21,re,,501,,14,,,,,,37,,,,,,,,
Robert-Bosch-Straße,Trauttmansdorffstraße,mi,31.05.2017,17:02,5,,m,,,,,2,,,,,,,1,1,,,46,ms,21,ms,,251,,14,,,,,,43,,,,,,,,
Weseler Straße,Sentmaringer Weg,mi,31.05.2017,19:10,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,coe,,623,,14,,,,,,29,,,,,,,,
Alter Steinweg,50,mi,31.05.2017,09:15,5,,o,,,,,1,,,,,,,,1,,,51,tbb,,,,711,,36,,,,,,59,,,,,,,,
Albert-Schweitzer-Straße,UKM,mi,31.05.2017,11:20,5,,o,,,,,2,,,,,,,,,,2,59,waf,59,bor,,711,,36,,,,,,33,,,,,,,,
Schiffahrter Damm,Mariendorfer Straße,do,18.05.2017,12:40,3,,,,,,1,2,,,,,,1,1,,,,21,z,11,waf,,302,,35,,,,,,72,65,,702000-026148-17/3,,,,,
Bahnhofstraße,5,mo,01.05.2017,04:25,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,01,49,,,,2/3,,32,,1.98 °/oo,702000-022244-17/7,,,,,
Weseler Straße,Bonhoefferstraße,mi,12.04.2017,15:30,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,211,,35,,,,,1,78,49,,702000-019512-17/9,,,,,
Sankt-Josefs-Kirchplatz,15,sa,29.04.2017,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,os,,501,,49,,,,,,F,,,702000-026997-17/5,,,,,
Hafenstraße,Ludgeriplatz,mi,17.05.2017,15:45,3,X,,,,,1,3,,3,F/n/n,,,,,,,,71,,71,,,681,,37,,,,,,F,,,702000-025925-17/7,,,,,
Salzmannstraße,49,mi,19.04.2017,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,sk,,599,,49,,,,2/3,,F,,,702000-020769-17/8,,,,,
Oststraße,2,di,25.04.2017,22:15,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,,,709,,49,,,,2/3,,F,,,702000-021722-17/4,,,,,
Domagkstraße,11,do,20.04.2017,05:45,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,st,,711,,36,,,,2/3,,26,,,702000-020591-17/5,,,,,
Dodostraße,14,mo,01.05.2017,11:00,5,X,,,,,,2,,,,,,,1,1,,,40,ms,21,ah,,799,,49,,,,,,F,,,702000-023424-17/2,,,,,
Echelmeyerstraße,1,do,11.05.2017,08:05,5,X,,,,,,2,,,,,,,1,,,1,92,,21,do,,799,,49,,,,,,F,,,702000-024941-17/0,,,,,
Roddestraße,3,do,04.05.2017,09:30,5,X,,,,,,2,,,,,,,1,1,,,46,el,21,ms,,724,,36,,,,,,63,,,702000-022889-17/8,,,,,
Wolbecker Straße,44,di,04.04.2017,14:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,599,,49,,,,,,F,,,702000-018206-17/5,,,,,
Bismarckallee,31,di,04.04.2017,19:05,5,X,,,,,,2,,,,,,,2,,,,21,st,21,gm,,701,,49,,,,,,53,,,702000-017977-17/2,,,,,
Fresnostraße,79a,so,07.05.2017,23:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-024509-17/0,,,,,
Hoher Heckenweg,99,do,18.05.2017,18:30,3,,,,,,2,3,,2,n/n,,,,1,,,,71,,71,,,651,,11,22,,,,,33,51,,702000-026237-17/5,,,,,
Wilkinghege,Helmholtzweg,mi,19.04.2017,14:07,2,,,,,1,2,1,,,,,,,1,,,,21,ms,,,,761,03/04,49,,,,,,61,,,702000-020535-17/5,,,,,
Elsässer Straße,,di,18.04.2017,16:23,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,501,,49,,,,,,F,,,702000-020235-17/9,,,,,
Ludgeriplatz,Hammer Straße,sa,15.04.2017,10:40,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,232,,34,,,,,,67,22,,702000-019968-17/6,,,,,
Gronowskistraße,Heinrich-Ebel-Straße,mo,22.05.2017,09:00,5,X,,,,,,2,,1,F,,,,1,,,,71,,21,lp,,501,,14,,,,,,F,,,702000-026875-17/3,,,,,
Könemannstraße,20,di,23.05.2017,16:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-027302-17/2,,,,,
Südstraße,Hagenschneiderweg,di,02.05.2017,17:30,3,,,,,,1,2,,2,n/n,,,,,,,,71,,71,,,342,,27,,,,,1,40,29,,702000-022538-17/8,,,,,
Gartenstraße,77,di,30.05.2017,15:58,2,,,,,1,,1,,,,,1,,,,,,01,,,,,141,,49,,,,,1,52,,,702000-028331-17/9,,,,,
Zum Erlenbusch,86,sa,27.05.2017,19:57,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,599,,49,,,,,,F,,,702000-027719-17/4,,,,,
Kardinal-von-Galen-Ring,Mecklenbecker Straße,mi,17.05.2017,18:45,3,,,,,,1,2,,2,n/n,,,,,,,,71,,71,,,601,,49,,,,,,25,27,,702000-027770-17/9,,,,,
Hammer Straße,283,so,30.04.2017,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,shg,,599,,49,,,,,,F,,,702000-022253-17/9,,,,,
Brunnenweg,14,fr,21.04.2017,18:10,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,49,,,,,1,68,,,702000-020972-17/0,,,,,
Hafenweg,26a,mi,24.05.2017,17:10,5,X,,,,,,2,,,,,,1,,,,1,92,,11,ms,,501,,49,,,,,,F,,,702000-027347-17/1,,,,,
Meisenweg,8,do,11.05.2017,08:15,5,X,,,,,,2,,,,,,,,1,,1,92,,40,ms,,799,,49,,,,,,F,,,702000-024466-17/7,,,,,
Zeisigweg,Kranichweg,fr,02.06.2017,07:35,4,,,,,,,2,,,,,,,2,,,,21,shk,21,ms,,322,,28,,,,,,33,,,,,,,,
Catharina-Müller-Straße,Parkplatz Aldi,do,01.06.2017,08:50,5,,z,,,,,2,,,,,,,2,,,,21,gl,21,ms,,703,,36,,,,,,34,,,,,,,,
Bremer Straße,Parkhaus,do,01.06.2017,12:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,37,,,,,,,,
Soester Straße,22,do,01.06.2017,17:30,5,,z,,,,,2,,,,,,,2,,,,21,gl,21,ac,,711,,36,,,,,,41,,,,,,,,
B 51,Abfahrt Wolbecker Straße,mi,31.05.2017,16:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,,,75,,,,,,,,
Albert-Schweitzer-Campus,Parkhaus UKM,di,30.05.2017,14:15,5,,z,,,,,2,,,,,,,2,,,,21,st,21,ms,,703,,49,,,,,,49,,,,,,,,
Albersloher Weg,Paul-Engelhard-Weg,do,01.06.2017,14:55,5,,m,,,,,2,,,,,,,2,,,,21,st,21,coe,,623,,14,,,,,,19,,,,,,,,
Rosenplatz,11,fr,02.06.2017,08:40,5,,m,,,,,2,,,,,,,1,1,,,51,ts,21,st,,702,,14,,,,,,31,,,,,,,,
Nottulner Landweg,106,do,01.06.2017,16:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,322,,37,,,,,,69,,,,,,,,
Mozartstraße,6,do,01.06.2017,18:35,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,502,,14,,,,,,54,,,,,,,,
Cheruskerring,Kanalstraße,mi,31.05.2017,10:40,5,,m,,,,,2,,,,,,,2,,,,21,NL,21,st,,231,,14,,,,,,35,,,,,,,,
Geiststraße,Aparkplatz Alter Schützenhof,do,01.06.2017,14:15,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,703,,36,,,,,,22,,,,,,,,
Coerdestraße,2,do,01.06.2017,12:40,5,,o,,,,,2,,,,,,,1,1,,,59,ms,21,st,,502,,14,,,,,,57,,AWM,,,,,,
Studtstraße,39,do,01.06.2017,13:40,5,,m,,,,,2,,,,,,,2,,,,21,hp,21,ms,,501,,14,,,,,,37,,,,,,,,
Domplatz,Parkplatz,do,01.06.2017,15:20,5,,m,,,,,2,,,,,,,2,,,,21,eu,21,ms,,703,,36,,,,,,37,,,,,,,,
Ludgeriplatz,Hafenstraße,do,01.06.2017,19:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,21,,,,,,,,
Sternstraße,30,do,01.06.2017,19:14,5,,m,,,,,2,,,,,,,1,1,,,40,m,21,ms,,501,,14,,,,,,31,,,,,,,,
Wolbecker Straße,188,do,01.06.2017,13:33,5,,m,,,,,2,,,,,,,2,,,,21,H,21,ms,,601,,14,,,,,,55,,,,,,,,
Kiesekamps Mühle ,Parkhaus Stadthaus 3,do,01.06.2017,14:27,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,h,,572,,36,,,,,,39,,,,,,,,
Hammer Straße,Metzer Straße,do,01.06.2017,16:55,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,ni,,623,,14,,,,,,25,,,,,,,,
Hamannplatz,,do,01.06.2017,13:43,5,,m,,,,,2,,,,,,,1,1,,,40,waf,21,E,,681,,14,,,,,,49,,,,,,,,
Südstraße,41,do,01.06.2017,16:40,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,,20,,,,,,,,
Am Krug,7,do,01.06.2017,17:05,5,,o,,,,,2,,,,,,,2,,,,21,f,21,ms,,701,,14,,,,,,28,,,,,,,,
Daimlerweg,46,do,01.06.2017,12:15,5,,o,,,,,1,,,,,,,,1,,,44,n,,,,799,,49,,,,,,27,,,,,,,,
Warendorfer Straße,567,do,01.06.2017,13:50,5,,o,,,,,2,,,,,,,2,,,,21,un,21,coe,,601,,14,,,,,,66,,,,,,,,
Ketteler Straße,77,do,01.06.2017,10:30,5,,m,,,,,2,,,,,,,1,1,,,40,m,21,ms,,501,,14,,,,,,68,,,,,,,,
Wickenkamp,1,do,01.06.2017,09:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,el,,501,,14,,,,,,41,,,,,,,,
Albersloher Weg,Kiesekamps Mühle,do,01.06.2017,08:37,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,gm,,201,,14,,,,,,36,,,,,,,,
Friedrich-Ebert-Straße,17,fr,28.05.2017,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,os,,703,,49,,,,,,F,,,702000-027601-17/9,,,,,
Vorländerweg,1,so,04.06.2017,10:10,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,84,,,,,,,,
Weseler Straße,593,fr,02.06.2017,15:55,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,39,,,,,,,,
Albersloher Weg,B 51,fr,02.06.2017,15:50,5,,z,,,,,2,,,,,,,1,1,,,21,ms,44,waf,,631,,26,,,,,,46,,,,,,,,
Geringhoffstraße,44,fr,02.06.2017,17:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,,30,,,,,,,,
Albersloher Weg,Boelckeweg,fr,02.06.2017,12:45,5,,z,,,,,2,,,,,,,1,1,,,21,be,44,st,,641,,26,,,,,,37,,,,,,,,
Fresnostraße,14,sa,03.06.2017,18:14,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ah,,703,,36,,,,,,51,,,,,,,,
Steinfurter Straße,York-Ring,sa,03.06.2017,08:20,5,,a,,,,,2,,,,,,,,2,,,42,st,40,st,,651,,14,,,,,1,19,,,,,,,,
Steinfurter Straße,Orleans-Ring,fr,02.06.2017,12:15,5,,a,,,,,3,,,,,,,2,1,,,40,b,21,ms,,711,,36,,,,,,77,,,,,,,,
Neubrückenstraße,35,so,04.06.2017,21:18,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,572,,36,,,,1,,22,,,,,,,,
Hammer Straße,81 / Radweg,fr,02.06.2017,13:24,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,241,,34,,,,,,30,,,,,,,,
Grevener Straße,69,fr,02.06.2017,11:40,5,,m,,,,,2,,,,,,,2,,,,21,en,21,fr,,703,,14,,,,,,82,,,,,,,,
Weseler Straße,60,mo,05.06.2017,19:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,651,,14,,,,,,34,,,,,,,,
Scharnhorststraße,68,so,04.06.2017,17:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,hf,,701,,14,,,,,,23,,,,,,,,
Wolbecker Straße,65,so,04.06.2017,13:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,25,,,,,,,,
Wolbecker Straße,76,fr,02.06.2017,19:30,5,,m,,,,,2,,,,,,,2,,,,21,mk,21,ms,,551,,37,,,,,,25,,,,,,,,
Albert-Schweitzer-Campus,1,di,06.06.2017,08:40,5,,o,,,,,2,,,,,,,1,1,,,46,NL,21,el,,711,,36,,,,,,41,,,,,,,,
Hansaring,Soester Straße,fr,02.06.2017,10:50,5,,m,,,,,2,,,,,,,1,1,,,44,kle,21,ms,,501,,14,,,,,,43,,,,,,,,
Bahnhofstraße,1,fr,02.06.2017,09:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,28,,,,,,,,
Weseler Straße,Mersmannsstiege,fr,02.06.2017,12:10,5,,m,,,,,2,,,,,,,2,,,,21,ah,21,ms,,623,,14,,,,,,23,,,,,,,,
Dängsel,Bönnenweg,fr,02.06.2017,23:35,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,48,,,,,,,,
Hohe Geest,6,fr,02.06.2017,16:05,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,v,,711,,36,,,,,,26,,,,,,,,
Teichstraße,Scharnhorststraße,fr,02.06.2017,13:13,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,st,,501,,14,,,,,,74,,,,,,,,
Westfalenstraße,197,fr,02.06.2017,16:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,,18,,,,,,,,
Friesenring,56,sa,03.06.2017,14:50,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,721,,36,,,,,,35,,,,,,,,
Goebenstraße,24,so,04.06.2017,21:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,1,,34,,,,,,,,
Ottostraße,7,mo,05.06.2017,17:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,42,,,,,,,,
Rehbaum,83,fr,02.06.2017,13:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,572,,36,37,,,,,33,,,,,,,,
Kerßenbrockstraße,2,fr,02.06.2017,18:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,29,,,,,,,,
Steinfurter Straße,60,fr,02.06.2017,13:50,5,,m,,,,,2,,,,,,,1,1,,,21,ms,51,kle,,633,,26,,,,,,51,,,,,,,,
Hacklenburg,5,fr,02.06.2017,14:20,5,,m,,,,,2,,,,,,,1,1,,,21,un,40,ms,,571,,36,37,,,,,60,,,,,,,,
Rudolf-Diesel-Straße,65a,fr,02.06.2017,22:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,waf,,703,,36,,,,2,,23,,,,,,,,
Hafenweg,32,so,04.06.2017,18:03,5,,m,,,,,2,,,,,,,2,,,,21,so,21,ms,,711,,36,,,,,,21,,,,,,,,
Königsberger Straße,BFT Tankstelle,mo,05.06.2017,14:44,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,711,,36,,,,,1,73,,,,,,,,
Dodostraße,5,sa,03.06.2017,13:46,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,un,,711,,36,,,,,,30,,,,,,,,
Friedrich-Ebert-Straße,160,sa,03.06.2017,12:00,5,,m,,,,,2,,,,,,,2,,,,21,wi,21,ms,,572,,36,,,,,,24,,,,,,,,
Bernhard-Ernst-Straße,PSD-Hafengarage,do,01.06.2017,19:40,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,703,,36,,,,,,33,,,,,,,,
Alter Steinweg,Parkhaus,fr,02.06.2017,10:10,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,mk,,703,,36,,,,,,23,,,,,,,,
Südstraße,25a,sa,03.06.2017,01:10,5,,o,,,,,2,,,,,,,2,,,,21,me,21,ms,,501,,14,,,,2,,19,,,,,,,,
Rüschhausweg,127,mo,05.06.2017,16:20,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,bor,,501,,14,,,,,,16,,,,,,,,
Steinfurter Straße,ARAL-Tankstelle,so,04.06.2017,00:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,26,,,,,,,,
Am Mittelhafen,Einfahrt Stadtwerke,so,04.06.2017,19:55,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,te,,711,,36,,,,,,48,,,,,,,,
Schorlemer Straße,6,fr,02.06.2017,16:52,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,65,,,,,,,,
Hammer Straße,385,mo,05.06.2017,12:50,5,,m,,,,,2,,,,,,,2,,,,21,ham,21,ms,,631,,26,,,,,,21,,,,,,,,
Sophienstraße,9,mo,05.06.2017,14:24,5,,o,,,,,2,,,,,,,2,,,,25,ms,21,ms,,799,,54,,,,,,45,,,,,,,,
Hogenbergstraße,27,sa,03.06.2017,17:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,50,,,,,,,,
Marktallee,41,do,01.06.2017,11:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,551,,37,,,,,,46,,,,,,,,
Westfalenstraße,110,mo,05.06.2017,15:40,5,,o,,,,,2,,,,,,,2,,,,21,re,21,ms,,711,,36,,,,,,75,,,,,,,,
Schürhook,Parkplatz K&K,sa,03.06.2017,13:35,5,,m,,,,,2,,,,,,,2,,,,21,gt,21,ms,,703,,36,,,,,,42,,,,,,,,
Eulerstraße,Zufahrt Recyclinghof,sa,03.06.2017,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,641,,14,,,,,,76,,,,,,,,
Düesbergweg,124,do,01.06.2017,12:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,coe,,703,,36,,,,,,43,,,,,,,,
Meesenstiege,52,sa,03.06.2017,17:17,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,42,,,,,,,,
Pleistermühlenweg,72,fr,02.06.2017,09:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,33,,,,,,,,
Dunantstraße,11,fr,02.06.2017,10:15,5,,m,,,,,2,,,,,,,2,,,,21,d,21,do,,711,,36,,,,,,46,,,,,,,,
Alter Mühlenweg,Auf der Laer,sa,03.06.2017,00:50,5,,,o,,,,1,,,,,,,1,,,,21,be,,,,751,,0,,86,,2,,33,,,,,,,,
Hammer Straße,Siemensstraße,fr,02.06.2017,14:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,42,,,,,,,,
Albersloher Weg,Bernhard-Ernst-Straße,so,04.06.2017,02:20,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,ms,,641,,26,,,,2,1,50,,,,,,,,
Friedrich-Ebert-Straße,Busparkplatz,do,20.04.2017,21:15,5,X,,,,,,2,,,,,,,,1,1,,40,,31,,,703,,36,,,,2/3,,F,,,702000-020791-17/9,,,,,
Waldwinkel,Kartwinkel,mi,24.05.2017,12:30,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,49,,,,,,F,,Stadt,702000-027596-17/1,,,,,
An der Alten Ziegelei,22,do,20.04.2017,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,st,,703,,45,,,,,,F,,,702000-020771-17/7,,,,,
Marktallee,54,do,20.04.2017,15:24,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,232,,34,,,,,,22,47,,702000-020745-17/0,,,,,
Am Berler Kamp,Hiltruper Straße,mi,31.05.2017,13:05,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,421,,49,,,,,,76,37,,702000-028520-17/3,,,,,
Immelmannstraße,In der Stroth,di,30.05.2017,10:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,me,,501,,49,,,,,,F,,,702000-028509-17/2,,,,,
Austermannstraße,Horstmarer Landweg,do,11.05.2017,09:57,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,bor,,342,,9,,,28,,,22,56,,702000-024403-17/4,,,,,
Bremer Straße,13,fr,05.05.2017,18:13,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,102,,49,,,,,,83,,,702000-023255-17/0,,,,,
Sophienstraße,54,mi,19.04.2017,17:00,5,X,,,,,,2,,,,,,,2,,,,21,st,21,os,,501,,14,,,,,,27,,,702000-021889-17/5,,,,,
Kanalstraße,Zeppelinstraße,di,04.04.2017,15:43,3,X,,,,,1,2,,1,n,,,,1,,,,21,coe,71,,,211,,35,,,,,,28,35,,702000-017949-17/7,,,,,
Münsterstraße,Alter Postweg,mo,15.05.2017,12:50,5,,a,,,,,2,,,,,,1,1,,,,21,ms,11,ms,,303,,28,,,,,,69,,,,,,,,
B 54,Hülshoffstraße,di,06.06.2017,16:00,4,,,,,,,2,,,,,,,2,,,,21,st,21,lh,,302,,28,,,,,,34,,,,,,,,
Lublinring,kanalstraße,di,06.06.2017,16:22,4,,,,,,,2,,,,,,,2,,,,21,ms,21,ah,,631,,26,,,,,,24,,,,,,,,
Andreas-Hofer-Straße,Mindener Straße,mo,05.06.2017,15:38,5,,a,,,,,2,,,,,,,2,,,,21,st,21,ms,,302,,28,,,,,,71,,,,,,,,
Regina-Prothmann-Straße,Höhe Sparkasse,di,06.06.2017,07:40,5,,z,,,,,2,,,,,,,1,1,,,46,waf,21,waf,,641,,26,,,,,,27,,,,,,,,
Havixbecker Straße,36,di,06.06.2017,07:25,5,,z,,,,,2,,,,,,,1,1,,,44,ms,21,bot,,501,,14,,,,,,50,,,,,,,,
Corrensstraße,24,di,06.06.2017,14:00,5,,z,,,,,1,,,,,,,,1,,,46,dh,,,,711,,36,,,,,1,69,,,,,,,,
Schiffahrter Damm,Pötterhoek,di,06.06.2017,19:10,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,18,,,,,,,,
Friedrich-Ebert-Straße,Dahlweg,di,06.06.2017,08:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,23,,,,,,,,
Hoyastraße,8,di,06.06.2017,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,14,,,,,,66,,,,,,,,
Weseler Straße,212,di,06.06.2017,15:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,302,,37,,,,,,75,,,,,,,,
Kappenberger Damm,172,di,06.06.2017,08:27,5,,m,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,641,,26,,,,,,30,,,,,,,,
Hafenstraße,Friedrich-Ebert-Straße,di,06.06.2017,12:05,5,,m,,,,,2,,,,,,1,1,,,,11,ms,21,bn,,651,,73,,,,,1,62,,,,,,,,
Lublinring,Gartenstraße,sa,03.06.2017,13:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,48,,,,,,,,
Kettelerstraße,16,di,06.06.2017,18:26,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,55,,,,,,,,
Albert-Schweitzer-Campus,Parkhaus UKM,di,06.06.2017,14:45,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,st,,703,,36,,,,,,28,,,,,,,,
Piusallee,35,di,06.06.2017,17:45,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,hh,,702,,14,,,,,,26,,,,,,,,
Andreas-Hofer-Straße,76,di,06.06.2017,15:35,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,501,,14,,,,,,33,,,,,,,,
Warendorfer Straße,Handorfer Straße,di,06.06.2017,17:10,5,,o,,,,,1,,,,,,,,1,,,51,coe,,,,102,,49,,,,,,48,,Stadt,,,,,,
Trauttmansdorffstraße,Höhe Cosmobowling,di,06.06.2017,13:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,651,,14,,,,,1,52,,,,,,,,
