datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190301,1300,G,,Hafenweg,,2,0,0,0,1,0,0,0,30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190304,1915,K,K13,Kanalstraße,Wasserstraße,2,0,0,0,1,0,0,0,30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190306,1300,G,,Zum Kaiserbusch,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,49,PKW,,
20190308,850,G,,Sebastianstraße,,2,0,0,0,1,0,0,0,30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,49,PKW,,
20190312,1310,B,B54,Hammer Straße,,2,0,0,1,1,0,0,0,50,0,1,0,0,1,0,0,0,3,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,Kraftrad,,
20190312,1746,L,L793,Wolbecker Straße,August-Schepers-Straße,2,0,1,0,1,0,0,0,,0,1,0,0,1,0,0,0,2,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Einbiegen/Kreuzen-Unfall (EK),0,Kraftrad,28,PKW,,
20190313,1415,L,L587,Wolbecker Straße,,2,0,0,1,1,0,0,0,,0,1,0,1,0,0,0,0,3,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Einbiegen/Kreuzen-Unfall (EK),0,PKW,37,Fahrrad,,
20190313,1620,L,L793,Hafenstraße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190313,1824,K,K9,Friedrich-Ebert-Straße,Augustastraße,2,0,0,1,1,0,0,0,50,0,1,0,1,0,0,0,0,3,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Abbiegeunfall (AB),0,PKW,34,Fahrrad,,
20190215,630,K,K6,Hohenzollernring,Hansaring,2,0,0,0,1,1,0,0,50,1,1,0,0,0,0,0,0,5,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,35,PKW,,
20190216,958,G,,Schmeddingstraße,,2,0,0,0,1,0,0,0,10,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,49,PKW,,
20190303,1400,G,,Emsländer Weg,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
