vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Kanalstraße,Grevener Straße,mo,05.11.2018,17:20,5,,z,,,,,2,,,,,,,2,,,,21,te,21,ms,,231,,14,,,,1,,31,,,
Düesbergweg,62,mo,05.11.2018,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,681,,14,,,,,,82,,,
Scheibenstraße,86,mo,05.11.2018,08:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,bor,,501,,14,,,,,,57,,,
Angelstraße,12,sa,03.11.2018,17:00,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,so,,501,,14,,,,1,,31,,,
Weseler Straße,579,sa,03.11.2018,12:30,5,,m,,,,,1,,,,,,,1,,,,21,coe,,,,703,,14,,,,,,18,,,
Ludgeriplatz,Hafenstraße,sa,03.11.2018,19:37,5,,m,,,,,2,,,,,,,2,,,,21,m,21,coe,,232,,34,,,,2/3,,50,,,
Wolbecker Straße,Mondstraße,mi,07.11.2018,17:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,gt,,213,,28,,,,2,,58,,,
Weseler Straße,Aasee Kugeln,mi,07.11.2018,09:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,69,,,
Lublinring,Gartenstraße,mi,07.11.2018,21:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,623,,14,,,,2,1,29,,,
Lublinring,Kanalstraße,mi,07.11.2018,15:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,231,,14,,,,,,35,,,
Rüschhausweg,200m nördl. Hülshoffstraße,mi,07.11.2018,19:25,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,55,,,
Hamannplatz,Parkplatz Sparkasse,mi,07.11.2018,10:05,5,,z,,,,,3,,,,,,,2,1,,,40,ms,44,st,,703,,36,,,,,,19,,,
Lützowstraße,,mi,07.11.2018,06:45,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,86,,,,2,,53,,,
Mondstraße,72,mi,07.11.2018,18:25,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2,,46,,,
Kardinal-von-Galen-Ring,Mecklenbecker Straße,so,28.10.2018,16:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,83,,,
York-Ring,Steinfurter Straße,mi,07.11.2018,14:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,601,,14,,,,,,29,,,
Gildenstraße,2h,mi,07.11.2018,08:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,33,,,
Achtermannstraße,22,mi,07.11.2018,13:15,5,,m,,,,,1,,,,,,,,1,,,40,me,,,,141,,14,,,,,,29,,,
Hüfferstraße,Paul-Wulf-Weg,mi,07.11.2018,19:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2,1,35,,,
Schmeddingstraße,91,mi,07.11.2018,19:20,5,,o,,,,,2,,,,,,,2,,,,21,mg,21,be,,711,,36,,,,2,1,20,,,
Ludgeriplatz,Moltkestraße,mi,07.11.2018,18:10,5,,m,,,,,2,,,,,,,1,,1,,21,erb,33,st,,641,,26,,,,2/3,,57,,,
Engelenschanze,Parkhaus,mi,07.11.2018,17:10,5,,m,,,,,2,,,,,,,2,,,,21,un,21,ms,,703,,36,,,,2/3,,35,,,
Scharnhorststraße,25,fr,05.10.2018,16:30,5,,o,,,,,2,,,,,,,1,1,,,40,st,21,ms,,711,,36,,,,,,52,,,
Grevener Straße,210,mi,07.11.2018,09:20,5,,o,,,,,2,,,,,,,1,1,,,40,k,21,ms,,501,,14,,,,,,61,,,
Finkenstraße,7,mi,07.11.2018,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,clp,,501,,14,,,,2,,25,,,
B 51,Albersloher Weg,mi,07.11.2018,15:55,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,coe,,623,,14,,,,,,63,,,
B 51,Hammer Straße,mi,07.11.2018,09:38,5,,o,,,,,2,,,,,,,1,1,,,44,gt,21,ms,,651,,14,,,,,,51,,,
B 51,Wolbecker Straße,mo,05.11.2018,23:50,5,,m,,,,,1,,,,,,,1,,,,21,ka,,,,141,,14,,,,2,,25,,,
Am Schütthook,105,mi,07.11.2018,21:10,5,,o,,,,,2,,,,,,,2,,,,21,dh,21,ms,,711,,36,,,,2/3,,28,,,
Glasuritstraße,BASF Tor 1,mi,07.11.2018,16:30,5,,o,,,,,1,,,,,,,,1,,,46,CZ,,,,711,,36,,,,,,57,,,
Friedrich-Ebert-Straße,22,sa,03.11.2018,18:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,35,,,
An den Loddenbüschen,33,sa,03.11.2018,16:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,b,,631,,26,,,,,,23,,,
Schulstraße,46,sa,03.11.2018,08:15,5,,o,,,,,2,,,,,,,2,,,,21,un,21,mk,,501,,44,,,,1,,34,,,
Hammer Straße,Düesbergweg,fr,02.11.2018,13:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,27,,,
Meesenstiege,54,fr,02.11.2018,16:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,31,,,
Loddenheide,5,fr,02.11.2018,18:25,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,st,,703,,36,,,,,,53,,,
Loddenheide,100m h. Gustav-Stresemann-Weg,fr,02.11.2018,17:53,5,,m,,,,,2,,,,,,,1,1,,,40,bn,21,ms,,501,,14,,,,2,,19,,,
Albersloher Weg,Theodor-Scheiwe-Straße,fr,02.11.2018,14:08,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,waf,,623,,14,,,,,,20,,,
Egbert-Snoek-Straße,Albersloher Weg,fr,02.11.2018,15:15,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,231,,14,,,,,,51,,,
Meesenstiege,Haltestelle Herding,fr,02.11.2018,17:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,651,,14,,,,,,46,,,
Düesbergweg,Hammer Straße,so,21.10.2018,14:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,56,,,
Freckenhorster STraße,Münsterstraße,sa,03.11.2018,00:40,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,43,,,
Altenberger Straße,Hülshoffstraße,mi,24.10.2018,07:30,5,,m,,,,,2,,,,,,,2,,,,21,st,21,bf,,601,,14,,,,1,1,38,,,
L 585,400 m südl. Twenhövenweg,mo,05.11.2018,06:50,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,1,,26,,,
Von-Einem-Straße,,mo,05.11.2018,10:15,5,,m,,,,,2,,,,,,,1,,,1,59,coe,21,ms,,501,,14,,,,,1,31,,,
Weseler Straße,729,sa,03.11.2018,11:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,40,,,
Dingbängerweg,47,sa,03.11.2018,10:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,27,,,,,,33,,,
Loddenheide,5,sa,03.11.2018,14:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,70,,,
Osttor,57,sa,03.11.2018,12:30,5,,m,,,,,2,,,,,,,,1,,1,59,ms,40,bn,,501,,55,,,,,,40,,,
Wilkinghege,Gasselstiege,do,08.11.2018,16:05,3,,,,,,1,2,,1,n,,,,1,,,,21,noh,72,,,342,,28,,,,,,22,69,,702000-063617-18/5
Hogenbergstraße,49,sa,03.11.2018,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-062497-18/6
Frauenstraße,31,mi,31.10.2018,09:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-061886-18/1
Höltenweg,95,mo,29.10.2018,06:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-061486-18/3
Dag-Hammarskjöld-Weg,Straßenrand,so,28.10.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,row,,799,,49,,,,,,F,,,702000-061673-18/9
Redigerstraße,Waldeyerstraße,di,30.10.2018,07:50,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,14,,,,,1,F,,,702000-061623-18/4
Annenstraße,ggü. 11,sa,27.10.2018,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,14,,,,,,F,,,702000-061126-18/1
Langeoogweg,2,sa,27.10.2018,13:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-061680-18/3
Himmelreichallee,Promenade,do,08.11.2018,07:50,3,,,,,,1,1,,1,j,,,,,,,,71,,,,,121,,49,,74,,,3,57,,,702000-063380-18/3
Michaelweg,10,mi,31.10.2018,14:14,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-061918-18/4
Westhoffstraße,140b,mi,31.10.2018,07:00,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,703,,14,,,,,,F,,,702000-061924-18/9
Königsberger Straße,6,di,25.09.2018,18:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,709,,36,,,,,,46,,,702000-054083-18/3
Roxeler Straße,Dorffeldstraße,mi,07.11.2018,18:25,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,72,,,211,,35,,,,2/3,1,56,56,,702000-063315-18/1
Liebigweg,8,mo,29.10.2018,08:30,5,X,,,,,,1,,,,,,,,1,,,40,k,,,,799,,49,,,,,,F,,,702000-061410-18/2
Grevener Straße,222,mi,10.10.2018,00:01,5,X,,,,,,1,,,,,,,,1,,,44,,,,,799,,14,,,,,,F,,,702000-057097-18/9
Augustastraße,30,so,14.10.2018,09:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,14,,,,,,F,,,702000-057845-18/2
Roxeler Straße,571,mo,29.10.2018,17:45,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,F,,,702000-064142-18/6
Manfred-von-Richthofen-Straße,97,fr,02.11.2018,23:00,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,501,,14,,,,2/3,,F,,,702000-062399-18/2
Hörsterstraße,21,fr,09.11.2018,09:50,3,,,,,,1,3,,1,n,,,,2,,,,21,ms,71,,,651,,22,,,,,1,80,21,,702000-063937-18/3
Marktallee,23,mi,17.10.2018,11:00,5,X,,,,,,2,,,,,,,1,1,,,44,os,21,ms,,799,,45,,,,,,53,,,702000-060068-18/8
Nottebrock,Heidhornweg,sa,06.10.2018,10:00,4,X,,,,,,1,,,,,1,,,,,,01,,,,,141,,49,,,,,,F,,,702000-056146-18/4
