vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Patronatsstraße,18,di,06.03.2018,10:55,6,,,,,,,2,,,,,,,2,,,,21,w,21,ms,,703,01,36,,,,,,48,64,1.62 °/oo,702000-011929-18/4
Rubensstraße,237,di,10.04.2018,09:25,3,,,,,,1,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,,,76,,,702000-018281-18/5
Bernsmeyerstiege,1,do,22.03.2018,13:20,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,coe,,501,,37,,,,,1,58,,,702000-015062-18/9
Bahnhofstraße,1,mi,21.03.2018,12:22,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,649,,34,,,,,,F,,,702000-014765-18/7
Weseler Straße,533,fr,02.03.2018,16:35,3,,,,,,1,3,,,,,,,3,,,,21,ms,21,ms,,611,,49,,,,,,43,34,,702000-011435-18/9
Meinertzstraße,35,so,25.02.2018,14:05,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,582,,45,,,,,,52,,,702000-000731-18/2
Südstraße,19,so,04.03.2018,14:30,5,X,,,,,,1,,,,,,,1,,,,21,en,,,,703,,36,,,,,,58,,,702000-011928-18/5
Hoher Heckenweg,92a,di,03.04.2018,10:25,5,,m,,,,,2,,,,,,,,2,,,40,ms,40,st,,641,,26,,,,,,31,,,
Albersloher Weg,Egbert-Snoek-Straße,mi,04.04.2018,19:25,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,31,,,,,,24,,,
Lippstädter Straße,Parkplatz Halle MS-Land,so,01.04.2018,16:58,5,,a,,,,,2,,,,,,,2,,,,21,el,21,f,,703,,36,,,,,,61,,,
Sentmaringer Weg,54,mi,28.03.2018,15:25,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,hn,,681,,14,,,,,1,42,,,
Hammer Straße,455,mi,04.04.2018,15:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,1,39,,,
Nordstraße,1,mi,04.04.2018,10:05,5,,o,,,,,2,,,,,,,1,1,,,44,ms,21,un,,501,,14,,,,,,57,,,
Lütke Gasse,17a,mi,04.04.2018,12:20,5,,o,,,,,2,,,,,,,1,1,,,21,ms,40,ham,,711,,36,,,,,,75,,,
Roxeler Straße,Höhe Bushaltestelle Deipenfohr,mi,04.04.2018,16:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,623,,14,,,,,,46,,,
Albert-Schweizer-Campus,Parkhaus UKM,mi,04.04.2018,15:45,5,,o,,,,,2,,,,,,,2,,,,21,gt,21,te,,703,,36,,,,,,28,,,
Cheruskerring,Langemarckstraße,mi,04.04.2018,17:15,5,,m,,,,,2,,,,,,,2,,,,21,e,21,st,,623,,14,,,,,,28,,,
Gerstkamp,37,mi,04.04.2018,16:36,5,,m,,,,,2,,,,,,,1,1,,,21,st,40,coe,,501,,14,,,,,,67,,,
Friesenring,Kinderhauser Straße,di,03.04.2018,21:10,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,b,,623,,14,,,,2,1,23,,,
Sudmühlenstraße,50m nördlich Bahnübergang,di,03.04.2018,10:00,5,,o,,,,,1,,,,,,,,1,,,44,un,,,,771,,51,,,,,,46,,Stadt,
Am Stadtgraben,Universitätsstraße,di,03.04.2018,07:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,18,,,
Piusallee,33,di,03.04.2018,12:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,79,,,
Am Stadtgraben,Universitätsstraße,di,03.04.2018,12:40,5,,m,,,,,2,,1,n,,,,,,1,,31,NL,71,,,241,,55,,,,,1,62,,,
Augustastraße,Sebastiankirchweg,di,03.04.2018,09:25,5,,m,,,,,2,,,,,,,1,1,,,21,m,40,ms,,572,,36,,,,,,65,,,
Tegederstraße,32,mi,04.04.2018,09:00,5,,m,,,,,2,,,,,1,,1,,,,21,ms,01,,,711,,36,,,,,,55,,,
Hammer Straße,460,mi,04.04.2018,15:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,602,,14,,,,,,46,,,
Hessenweg,1km südl. Sprakeler Straße,di,03.04.2018,16:15,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,681,,14,,,,,,46,,,
Warendorfer Straße,Hohenzollernring,di,03.04.2018,10:40,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,bw4,,711,,36,,,,,,56,,,
Hammer Straße,Goebenstraße,di,03.04.2018,12:15,5,,m,,,,,2,,,,,,,,1,1,,33,ms,21,os,,501,,14,,,,,,51,,,
Hammer Straße,28,di,03.04.2018,12:10,5,,m,,,,,2,,,,,,,,1,1,,33,ms,40,os,,501,,14,,,,,,21,,,
Dahlweg,ggü. 118,di,03.04.2018,15:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,do,,501,,14,,,,,,48,,,
Grevener Straße,Wilhelmstraße,di,03.04.2018,15:25,5,,m,,,,,2,,,,,,,2,,,,21,st,21,nr,,701,,14,,,,,,26,,,
Tannenbergstraße,6,di,03.04.2018,07:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,nor,,501,,14,,,,,1,27,,,
Gartenstraße,79,di,03.04.2018,11:10,5,,o,,,,,2,,,,,,,1,1,,,40,bn,21,ms,,501,,14,,,,,,32,,,
Grevener Straße,2,di,03.04.2018,16:00,5,,o,,,,,2,,,,,,,2,,,,21,st,21,hx,,701,,14,,,,,,27,,,
Hammer Straße,151,di,03.04.2018,14:35,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,so,,703,,45,,,,,,45,,,
Hammer Straße,151,di,03.04.2018,14:35,5,,m,,,,,2,,,,,,,2,,,,21,bf,21,ms,,703,,36,,,,,,20,,,
Westfalenstraße,173,di,03.04.2018,11:48,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,711,,36,,,,,,38,,,
Nottebrock,Vennepohl,di,03.04.2018,00:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,,,18,,,
Raesfeldstraße,8,mo,02.04.2018,17:30,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,,32,,,
Moränenstraße,25,mo,02.04.2018,09:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,55,,,
Lüdinghauser Straße,5,mo,02.04.2018,15:00,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,711,,36,,,,,,51,,,
Hammer Straße,266a,mo,02.04.2018,15:00,5,,m,,,,,2,,,,,,,2,,,,21,hb,21,ms,,623,,14,,,,,,32,,,
Dahlweg,Königsweg,mo,02.04.2018,10:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,40,,,
Dahlweg,101,di,03.04.2018,11:00,5,,o,,,,,2,,,,,,,1,1,,,46,el,21,waf,,501,,14,,,,,,58,,,
Nottulner Landweg,106,di,03.04.2018,18:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,CZ,,703,,44,,,,,,42,,,
Hermannstraße,Von-Kluck-Straße,di,03.04.2018,21:40,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,711,,36,,,,2,,24,,,
Friedrich-Ebert-Straße,Leostraße,so,01.04.2018,13:05,5,,o,,,,,2,,,,,,,1,,1,,33,ms,21,coe,,501,,14,,,,,1,48,,,
Wiedaustraße,2km Vogelsang,so,01.04.2018,20:50,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,86,,,,,,53,,,
Sternstraße,26,mo,02.04.2018,19:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,vec,,501,,14,,,,,,38,,,
Birkenheide,Homannstraße,so,01.04.2018,14:35,5,,o,,,,,2,,,,,,,1,,1,,33,ms,21,ms,,502,,14,,,,,,60,,,
Engelenschanze,Parkhaus,di,03.04.2018,14:15,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ah,,703,,36,,,,,,49,,,
Hammer Straße,11,mo,02.04.2018,21:05,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,2/3,,21,,,
Geringhoffstraße,44,di,03.04.2018,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,be,,703,,36,,,,,,76,,,
Mierendorffstraße,15,so,01.04.2018,18:55,5,,o,,,,,2,,1,P,,,,1,,,,21,ms,71,,,599,,49,,,,,,57,,,
B 54,AS Nienberge,do,22.03.2018,18:15,5,,,m,,,,1,,,,,,,1,,,,21,te,,,,141,,13,49,,,1,1,20,,,
Gemenweg,19,sa,31.03.2018,09:28,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,,1,65,,,
Friedrich-Ebert-Straße,Timmerscheidtstraße,mi,21.03.2018,15:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,53,,,
Hermannstraße,45,mi,14.03.2018,20:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,kle,,501,,49,,,,2,,F,,,702000-013843-18/6
Aldruper Straße,Überführung Bahngleise,mo,02.04.2018,08:20,3,,,,,,1,1,,,,,,,1,,,,21,st,,,,799,01,49,,,,,,22,,1.42 °/oo,702000-016706-18/6
Albersloher Weg,B 51,mo,02.04.2018,00:24,4,X,,,,,,1,,,,,,,1,,,,21,bir,,,,199,01,35,,,,2/3,,31,,1.86 °/oo,702000-016689-18/9
Roxeler Straße,Schelmenstiege,so,25.03.2018,00:50,3,,,,,,1,2,1,,,,,,1,,,,81,,21,ms,,421,,66,,,,2/3,,19,56,,702000-015425-18/0
Mühlenstraße,Am Stadtgraben,di,10.04.2018,11:45,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,342,,28,,,,,,73,27,,702000-018313-18/8
Münzstraße,4,so,01.04.2018,19:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,el,,799,,49,,,,,,F,,,702000-016782-18/8
Hittorfstraße,28,fr,16.03.2018,13:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-014210-18/7
Wolbecker Straße,1,sa,07.04.2018,02:50,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,799,01,49,,,,2/3,,19,,1.42 °/oo,702000-017764-18/7
Tegederstraße,18,fr,30.03.2018,14:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-017489-18/8
Steinfurter Straße,269,do,12.04.2018,17:15,3,,,,,,1,2,,,,,,,2,,,,21,eu,21,st,,602,,14,,,,,,22,41,,702000-018969-18/9
Bodelschwinghstraße,16,do,29.03.2018,06:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,703,,49,,,,,,F,,,702000-016447-18/3
Kopenhagener Straße,1,do,29.03.2018,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ham,,703,,49,,,,,,F,,,303000-009882-18/6
Handorfer Straße,Hobbeltstraße,fr,16.02.2018,10:15,5,X,,,,,,1,,,,,,,,1,,,46,st,,,,122,,34,,,,,,70,,,702000-008815-18/2
Wolbecker Straße,226,do,15.02.2018,18:00,5,X,,,,,,2,,,,,,,1,,,1,22,hsk,21,rof,,711,,36,,,,1/3,,70,,,702000-008940-18/2
Königsstraße,39,mi,11.04.2018,08:25,3,,,,,,1,2,,,,,,,2,,,,21,ms,21,f,,601,,14,,,,,,24,,,702000-018637-18/2
Mecklenbecker Straße,Dingbängerweg,so,25.03.2018,16:15,5,X,,,,,,1,,,,,,,,1,,,46,,,,,729,,36,,,,,,F,,,702000-015474-18/6
Patronatsstraße,7,fr,23.03.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,701,,49,,,,,,F,,,702000-015538-18/0
Geringhoffstraße,44,do,22.03.2018,14:15,5,X,,,,,,2,,,,,,,1,1,,,40,,21,ms,,703,,49,,,,,1,F,,,702000-015033-18/5
Catharina-Müller-Straße,Parkplatz Aldi,fr,23.03.2018,16:15,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,702,,49,,,,,,F,,,702000-015291-18/7
Mondstraße,104,di,10.04.2018,16:15,3,,,,,,1,2,,,,,,,2,,,,21,ms,21,ms,,599,,49,,,,,,21,57,,702000-018419-18/4
Münzstraße,Bergstraße,mi,14.03.2018,10:30,5,X,,,,,,3,,,,,,,3,,,,21,st,21,ms,,661,,17,18,,,,,26,,,702000-013385-18/8
Zimmerstraße,Wykstraße,di,03.04.2018,21:05,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,hh,,711,,36,,,,2,,24,,,
Veghestraße,10,sa,31.03.2018,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,st,,799,,49,,,,,,F,,,702000-016618-18/3
Von-Hünefeld-Weg,40,fr,06.04.2018,11:00,4,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-017738-18/0
Augustastraße,36,sa,07.04.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ler,,799,,49,,,,,,F,,,702000-017873-18/1
Melchersstraße,69,fr,23.03.2018,06:30,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,799,,49,,,,2/3,1,22,31,,702000-015183-18/2
Eltropweg,8,fr,30.03.2018,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-016715-18/8
Ramertsweg,Roxeler Straße,mo,09.04.2018,11:45,3,,,,,,1,2,,1,j,,,,1,,,,21,eu,71,,,342,,34,,,,,,26,80,,702000-018020-18/6
Katthagen,38,fr,23.03.2018,12:00,5,X,,,,,,2,,,,,,,2,,,,21,b,21,ge,,703,,45,,,,,,21,,,702000-015323-18/0
Weseler Straße,251,mi,28.03.2018,23:45,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-016362-18/8
Kappenberger Damm,Ascheberger Straße,mi,14.03.2018,16:28,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,342,,28,,,9,,,83,17,,702000-013476-18/8
Hammer Straße,Siemensstraße,mi,14.02.2018,18:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,634,04,26,,,,2/3,,69,,,702000-008524-18/8
Dortmunder Straße,5,sa,10.02.2018,00:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-017648-18/9
Haus Sentmaring,9,mi,07.03.2018,09:00,5,X,,,,,,1,,,,,,,1,,,,21,coe,,,,703,,36,,,,,,67,,,702000-012987-18/5
Kinderhauser Straße,31,mo,05.03.2018,14:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-018227-18/3
Sudmühlenstraße,Dyckburgstraße,fr,13.04.2018,05:45,3,,,,,,2,2,,,,,,,2,,,,21,ms,21,ms,,301,,28,,,,2/3,,21,50,,702000-019008-18/9
Hohe Geest,60,sa,07.04.2018,12:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,be,,799,,49,,,,,,F,,,702000-019020-18/9
Friedrich-Ebert-Straße,161,do,05.04.2018,22:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-017584-18/5
Meesenstiege,54,di,13.03.2018,09:40,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,1,F,,,702000-013194-18/6
Tibusstraße,18,fr,23.03.2018,10:30,5,X,,,,,,2,,,,,,,2,,,,21,bi,21,re,,703,,49,,,,,,84,,,702000-015239-18/3
Von-Witzleben-Straße,9,so,18.03.2018,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,os,,799,,49,,,,,,F,,,702000-014419-18/2
Warendorfer Straße,189,di,10.04.2018,07:50,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,703,,37,,,,,,22,25,,702000-018252-18/1
Dahlweg,112,do,05.04.2018,11:48,5,X,,,,,,1,,,,,,,,,,1,92,,,,,703,,49,,,,,,F,,,702000-017538-18/6
Weseler Straße,231,di,03.04.2018,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,501,,49,,,,,,F,,,702000-017772-18/0
Steinfurter Straße,269,fr,09.03.2018,14:40,2,,,,,2,,3,,,,,,,3,,,,21,ms,21,ms,,681,,11,,,,,,40,34,,702000-012657-18/6
Mauritz-Lindenweg,Höhe Eingang Friedhof,do,05.04.2018,06:05,5,X,,,,,,2,,,,,,,1,,,1,92,,21,mh,,799,,49,,,,,1,F,,,711000-009470-18/0
Theißingstraße,28,mi,11.04.2018,18:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,599,,49,,,,,,32,,,702000-018751-18/2
Westhoffstraße,Wilkinghege,do,05.04.2018,06:25,4,,,,,,,2,,,,,,,2,,,,21,st,21,ms,,301,,28,,,,1,1,28,,,
Bahnhofstraße,Urbanstraße,di,10.04.2018,12:11,5,,z,,,,,2,,,,,,,1,,1,,33,ms,21,coe,,631,,26,,,,,,45,,,
Theodor-Storm-Straße,Haxthausenweg,di,10.04.2018,09:40,5,,a,,,,,2,,1,n,,,,1,,,,71,,21,ms,,321,,28,,,,,,17,,,
Schorlemer Straße,Ludgeriplatz,di,10.04.2018,16:30,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,303,,28,,,,,,53,,,
Soester Straße,56,so,08.04.2018,17:25,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,st,,501,,14,,,,,,30,,,
Mecklenbecker Straße,235,mi,11.04.2018,08:10,5,,a,,,,,2,,1,n,,,,1,,,,21,vec,71,,,222,,35,,,,,,46,,,
Sebastiankirchweg,Parkplatz,mi,11.04.2018,20:10,5,,z,,,,,2,,,,,,,2,,,,21,ham,21,ms,,703,,36,,,,1,,29,,,
Rudolf-Diesel-Straße,1,do,12.04.2018,16:40,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,37,,,,,,29,,,
Roxeler Straße,416,do,12.04.2018,16:45,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,re,,703,,36,,,,,,53,,,
Königsstraße,18,do,12.04.2018,11:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,3,92,,,
Dülmener Straße,16,sa,07.04.2018,15:00,5,,z,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,18,,,
Grafschaft,Kappenberger Damm,mi,04.04.2018,16:59,5,,z,,,,,2,,,,,,1,1,,,,21,ms,12,waf,,231,,14,,,,,,75,,,
Albersloher Weg,Kiesekampsmühle,mi,04.04.2018,09:10,5,,a,,,,,2,,1,n,,,,1,,,,21,coe,71,,,241,,34,,,,,,60,,,
Augustastraße,70,sa,07.04.2018,20:05,5,,a,,,,,2,,,,,,,2,,,,21,mr,21,bi,,681,,14,,,,,,25,,,
Robert-Koch-Straße,Hüfferstraße,fr,06.04.2018,10:35,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,sg,,501,,14,,,,,,20,,,
Auf dem Dorn,10c,fr,06.04.2018,09:20,5,,z,,,,,1,,,,,,,,1,,,44,coe,,,,711,,36,,,,,,43,,,
Weseler Straße,Kerkheideweg,do,05.04.2018,12:35,5,,z,,,,,2,,,,,,,2,,,,21,gt,21,ham,,601,,14,,,,,,45,,,
Von-Steuben-Straße,10,do,05.04.2018,12:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,32,,,
Münstermannweg,11,sa,07.04.2018,08:40,5,,z,,,,,2,,,,,,,2,,,,21,lh,21,ms,,599,,14,,,,,,31,,,
Warendorfer Straße,166,sa,07.04.2018,11:50,5,,z,,,,,2,,,,,,,1,,1,,31,ms,21,mo,,501,,14,,,,,,65,,,
Bremer Platz,42,fr,06.04.2018,17:00,5,,z,,,,,2,,,,,,,2,,,,21,NL,21,ler,,501,,14,,,,,,35,,,
Eisenbahnstraße,Friedrichstraße,fr,06.04.2018,09:40,5,,o,,,,,2,,,,,,,2,,,,21,e,21,ms,,712,,36,,,,,,52,,,
Robert-Bosch-Straße,1,fr,06.04.2018,11:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,302,,37,,,,,,69,,,
Hohenzollernring,72,fr,06.04.2018,07:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,her,,703,,14,,,,,,58,,,
Burgwall,13,fr,06.04.2018,17:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,501,,14,,,,,,51,,,
Buddenstraße,1,fr,06.04.2018,10:45,5,,o,,,,,2,,,,,,,1,1,,,40,m,21,pb,,501,,14,,,,,,37,,,
Dingbängerweg,Mecklenbecker Straße,fr,06.04.2018,08:00,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,141,,49,,,,,,26,,,
Albersloher Weg,539,fr,06.04.2018,14:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,35,,,
Unckelstraße,Marktallee,fr,06.04.2018,12:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,50,,,
Sessendrupstraße,54,fr,06.04.2018,12:00,5,,o,,,,,2,,,,,,,2,,,,21,rs,21,un,,501,,14,,,,,,49,,,
Auf der Horst,42,fr,06.04.2018,12:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,37,,,,,,77,,,
Heekweg,Parkhaus Dieckmannstraße,fr,06.04.2018,13:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,712,,44,,,,,,30,,,
Lublinring,Gartenstraße,fr,06.04.2018,08:50,5,,m,,,,,2,,,,,,,1,1,,,21,coe,40,ms,,601,,14,,,,,,48,,,
Domplatz,Einfahrt Parkplatz,fr,06.04.2018,18:30,5,,m,,,,,1,,,,,,,1,,,,21,lh,,,,711,,36,,,,,,55,,,
Weseler Straße,401,do,05.04.2018,17:15,5,,m,,,,,2,,,,,,,2,,,,21,st,21,st,,601,,14,,,,,,18,,,
Nordstraße,ggü. 6,do,05.04.2018,15:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,48,,,
An der Alten Ziegelei,33,do,05.04.2018,18:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,302,,28,,,,,,48,,,
Schiffahrter Damm,Parkplatz Rewe,do,05.04.2018,21:08,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,2/3,,18,,,
Weseler Straße,212,do,05.04.2018,15:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,wst,,711,,36,,,,,1,72,,,
Kanalstraße,Bröderichweg,do,05.04.2018,11:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,1,53,,,
Herdingstraße,Timmerscheidtstraße,fr,06.04.2018,20:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,1,,47,,,
Hansaring,59,mi,04.04.2018,15:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,27,,,
Staufenstraße,41,do,05.04.2018,10:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,22,,,
Schillerstraße,Höhe Bremer Platz 21,do,05.04.2018,09:10,5,,m,,,,,2,,,,,,,1,,,1,22,ms,21,ms,,501,,14,,,,,1,34,,,
Weseler Straße,675,do,05.04.2018,15:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,1,60,,,
Düesbergweg,61,do,05.04.2018,14:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,hb,,501,,14,,,,,,47,,,
Dodostraße,8,do,05.04.2018,20:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ah,,501,,14,,,,1,,29,,,
Altenberger Straße,,mi,04.04.2018,06:05,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,86,,,,1,,62,,,
Von-Kluck-Straße,20,sa,07.04.2018,20:46,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,711,,36,,,,2,,27,,,
Wiedaustraße,200m h. Vogelsang,sa,07.04.2018,20:05,5,,,o,,,,1,,,,,,,1,,,,21,din,,,,751,,86,,,,1,,37,,,
Am Wasserturm,9,sa,07.04.2018,13:15,5,,m,,,,,2,,,,,,,1,1,,,44,bn,21,ms,,502,,14,,,,,,50,,,
Eulerstraße,8,sa,07.04.2018,14:05,5,,m,,,,,2,,,,,,,2,,,,21,eu,21,ms,,799,,44,,,,,,27,,,
Daimlerweg,51,sa,07.04.2018,11:50,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,waf,,703,,36,,,,,,34,,,
Roxeler Straße,Dieckmannstraße,sa,07.04.2018,14:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,651,,14,,,,,,27,,,
Cheruskerring,78,sa,07.04.2018,13:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,599,,14,,,,,,31,,,
Habichtshöhe,3,mi,04.04.2018,12:53,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,502,,14,,,,,,50,,,
An der Hansalinie,21,mi,04.04.2018,13:40,5,,m,,,,,2,,,,,,,1,1,,,40,m,21,ms,,703,,14,,,,,,32,,,
Engelstraße,Höhe Parkhaus,mi,04.04.2018,16:35,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,322,,37,,,,,,37,,,
Zumsandestraße,Warendorfer Straße,mi,04.04.2018,19:35,5,,m,,,,,2,,,,,,,2,,,,21,os,21,ms,,711,,36,,,,,,77,,,
Ludgeriplatz,Hafenstraße,mi,04.04.2018,17:25,5,,m,,,,,2,,1,n,,,,1,,,,21,gt,71,,,651,,14,,,,,,53,,,
Am Schütthook,1,mi,04.04.2018,08:50,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,571,,37,,,,,,44,,,
Marktallee,34,mi,04.04.2018,07:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,53,,,
Telgter Straße,600m h. Freckenhorster Straße,mi,04.04.2018,16:30,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,86,,,,,,30,,,
Havichhorststraße,Dodostraße,mo,09.04.2018,18:28,5,,o,,,,,2,,,,,,,1,1,,,44,bn,21,ms,,502,,14,,,,,,20,,,
Wolbecker Straße,Kanalbrücke,mo,09.04.2018,16:47,5,,m,,,,,3,,,,,,,3,,,,21,ms,21,ms,,601,,14,,,,,,67,,,
B 51,Wolbecker Straße,mo,09.04.2018,16:30,5,,m,,,,,2,,,,,,1,1,,,,21,ms,11,ms,,231,,14,,,,,,25,,,
Marktallee,40,mo,09.04.2018,17:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,50,,,
Kuhstraße,Hollenbecker Straße,di,10.04.2018,14:15,5,,m,,,,,2,,,,,,,2,,,,21,eu,21,ms,,502,,14,,,,,,48,,,
Grevener Straße,69,di,10.04.2018,14:45,5,,o,,,,,2,,,,,,,2,,,,21,hu,21,ms,,703,,14,,,,,,52,,,
Arnheimweg,12,di,10.04.2018,16:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,50,,,
Kardinal-von-Galen-Ring,65,di,10.04.2018,09:00,5,,m,,,,,2,,,,,,,1,,1,,33,coe,21,kr,,262,,34,37,,,,,61,,,
